nombre,id,idYTMusic,colaboracion,subscriptores,views
Rvssian,377,UCNzGI8JyKXRgrgGIknRGalg,"['Farruko', 'Farruko', 'Anuel AA']",28.4K,"78,461,066 views"
Mau y Ricky,378,UCjdM1qBzGOeKgOmgybIuCtA,"['Manuel Turizo', 'Manuel Turizo', 'Nicky Jam', 'Sebastián Yatra', 'Sebastián Yatra']",4.16M,"2,648,259,894 views"
Luar La L,379,UCStUThP2IprRPM9sw3pF48g,['Almighty'],514K,No info
Anitta,380,UCI99G32byWj1aH13pbxnTEw,"['TINI', 'Greeicy', 'Lexa']",17M,"6,982,448,773 views"
Lele Music,381,None,[],,
el goldo de las conec,382,UC09f1t4LZwRcK6EBOQV5bqQ,['Jhanking'],38K,No info
andres yuma,383,UCcGMHIKIFVWac1D4ODVuR-g,['Trumpmoney'],0,No info
Vadi,384,None,[],,
Cazzu,385,UCXxxmrUKXeL095S9o9e5TDw,['Randy'],5.29M,"1,862,720,535 views"
MVSIS,386,UCpk6J-Lg6cmksoQTirc1ucA,['Anuel AA'],93,No info
Trueno,387,UCEPYn7xbzvQwL9C21evFGDg,"['Tiago PZK', 'El Alfa']",5.87M,"1,395,469,967 views"
EL IMA,388,UCkH_zaicOPTd1044FyrAybg,['Abhir Hathi'],6.43K,No info
Dread Mar I,389,UC_X1gYPv9eOW1CYIVEAX2hw,['Rusherking'],5.31M,No info
LIT killah,390,UC1qoOeueDduCF1S6xnXYmqA,['Tiago PZK'],5.64M,No info
Camilo,391,UC0l2FUrxXnO8XwR0eqb-Nsg,"['Shakira', 'Manuel Turizo', 'Manuel Turizo', 'Ozuna', 'Pedro Capó', 'Evaluna Montaner', 'Camila Cabello', 'Camila Cabello', 'Grupo Firme', 'El Alfa']",15.6M,"6,415,611,760 views"
Juhn,392,UCyk_J3-Nvv2ECz8kiVrZ5qQ,['Myke Towers'],1.27M,No info
Dua Lipa,393,UCzVb0SIXp9q9PeKCcFjsBtA,['Bad Bunny'],21.4M,"10,554,613,652 views"
Noriel,394,UCYWVGrOjgB0mJgMuy84vQxA,"['Darell', 'KHEA', 'KHEA', 'Santana The Golden Boy', 'El Alfa', 'Chimbala']",5.04M,"1,723,197,708 views"
Jennifer Lopez,395,UCXDcGa1H1axtr1wkxOR3hZQ,"['Bad Bunny', 'Maluma']",16M,"9,843,154,013 views"
YAVIAH,396,UCnrbNW0nwapPUZZTPv_KbBg,['Bad Bunny'],33.8K,No info
Chino & Nacho,397,UCM0is5a5RHVKMcyN8Xs5dQw,['Chyno Miranda'],4.81M,"4,184,074,232 views"
Nacho,398,UCYJwsP1YmNv3Qm6HW7ozxBA,"['Chyno Miranda', 'Chyno Miranda', 'Daniel Santacruz']",5.73M,"2,905,857,701 views"
Simone & Simaria,399,UCdr8B1Wj70vRx7qNz0HkKPw,['KAROL G'],11.4M,"4,646,821,949 views"
Juice WRLD,400,UCbn0GRdgsQtl9hlV-IqxFGg,['Anuel AA'],10.7M,"5,324,348,329 views"
Zumbi,401,UCUe_EOF2EBOH6hU7QJcziAQ,['Farruko'],32,No info
Morat,402,UCyZgGJiy9vum1xD7hXWG_rA,['Reik'],6.62M,"4,768,420,495 views"
Flow La Movie,403,UC95F-UDqrRZmrwozzczvawA,['Nio Garcia'],6.03K,No info
Casper Magico,404,UCIAWcPYu4GWqyD2WhyenKBw,['Nio Garcia'],56K,No info
Black Eyed Peas,405,UC7JGA3rY8kb0-Epuqenjkzw,['J Balvin'],11.8M,"10,109,586,674 views"
GIMS,406,UCanUjmTDohFr8OMpfk5xWBQ,"['Maluma', 'Maluma']",10.9M,"6,037,002,459 views"
KEVVO,407,UCRNdAgK-Hwkl3PZmQFUnl1Q,['Farruko'],383K,"167,464,761 views"
Demi Lovato,408,UCwem2sj-QUJCiWiPAo9JuAw,['Luis Fonsi'],17.8M,"6,684,240,561 views"
Enrique Iglesias,409,UCD-0qTYqRd4t9re9AwRydnQ,['Nicky Jam'],23.4M,"16,972,657,587 views"
Mariah Angeliq ,410,UCbLTh4xcRBh49Psu-7MOXSQ,['KAROL G'],1.13M,No info
Lenier,411,UCpEESy0SY7NiICeN0XgDdeA,"['Farruko', 'Chacal', 'Chacal']",19.9K,No info
Lit Killah,412,UC1qoOeueDduCF1S6xnXYmqA,['Tiago PZK'],5.64M,No info
BANDIDO,413,None,[],,
Farina,414,UCNXvwbgr8tGszzqBjDClcxQ,"['Maluma', 'El Alfa']",2.54M,"743,950,618 views"
Andra,415,UCMHLzL4MdXUwC0ZpAR51WLA,['Descemer Bueno'],1.9M,"1,874,740,495 views"
Juaco,416,UCKd4R_IF0UMe2KZBn_F5JZA,['El Kamel'],57,No info
Bryant Myers,417,UCH-xlT-Cq4cNCGi54pqdwkg,['Boy Wonder CF'],8.32M,"3,273,295,831 views"
Cosculluela,418,UCDHhds5KLRgEyCIRF5zK4SA,['Boy Wonder CF'],7.09M,"2,958,549,041 views"
Jon Z,419,UCy86NQba0zXOqWvV6hpZmVA,['J Menez'],6.58M,"1,767,259,257 views"
Eladio Carrion,420,UC7YJ69rJ9qtVh6SjYFs4cGg,"['KHEA', 'KHEA']",3.26M,"1,833,479,884 views"
Alex Sensation,421,UCJ5rRzbngyC5hL71z7OvCLw,['Nicky Jam'],1.46M,"1,035,319,429 views"
Trapical,422,UCkV-TKWDLEANF3LYh8H4OcA,['Lalo Ebratt'],35.4K,No info
Pitbull,423,UC03jIQv4WXBSHdr1DlCLYDw,['Natti Natasha'],16M,"11,944,501,022 views"
Mc Daniel,424,UCNBdRAxgiWKMPH2_wiDjecw,['MC Ryan SP'],27.3K,No info
Ariel Donato,425,UC0NO6W1BE6Rq72AWbmusVYA,"['MC Cabelinho', 'MC Cabelinho']",400,No info
MC MENOR SG,426,UCxsIEqhZ9hpeoGy_Oad5uOw,"['MC MENOR HR', 'MC MENOR HR']",120,No info
DJ ESCOBAR,427,UCjiuY6qAEfiLGtNg14Vqgow,"['MC MENOR HR', 'MC MENOR HR']",397,No info
Mc Davi,428,UC4xYDLbW8M9KY_tDm9tZcHw,"['MC Marks', 'MC Don Juan']",433K,No info
Tchakabum,429,UCPe7TCsGbTHJaJs19xZEHaA,"['Dj LK da Escócia', 'Dj LK da Escócia']",116K,No info
Chefin,430,UCkhGNpwpD2nscSRrtvnzWjA,['Mainstreet'],251K,No info
DJ Biel do Furduncinho,431,UCuUWXU0SZeAm6V3bM7N1iag,['L7NNON'],1.73K,No info
Bianca,432,None,[],,
Love Funk,433,UCKEZ3EVegBelxQGgP1gh_iA,"['Kotim', 'Mc Piedro', 'MC Zuka', 'Mc Fopi']",6.43K,No info
MC Lemos,434,UC9lZ2RV94uo6X2ZUA445R7Q,['Mc Piedro'],116K,"28,356,608 views"
Mc Lipi ,435,UCiy2-oyyxjKHthWBXB8VPkg,['Mc Piedro'],856K,No info
Mc Kitinho,436,UCHnK0hxO3SV9GUZ9Ixx0AMw,"['Veigh', 'Niack']",49.6K,No info
JC NO BEAT,437,UCB4FaljrPE0mZG2Ekxgpbwg,['MC Teteu'],18K,No info
DJ F7,438,UC4j_nFWm8H-ZDMEV2VtzTSQ,['MC Teteu'],6.33K,No info
dj sv,439,None,[],,
Mc Gabzin,440,UCEiXvDnRXlBKblNeoX-ftmg,['DJ TAK VADIÃO'],128K,No info
Davi Kneip,441,UCNiqPDhsHFXcYDAgo5ePGAg,"['Luísa Sonza', 'FP do Trem Bala']",372K,No info
Mc Frog e Mc Leozin,442,None,[],,
Dj Gabriel do Borel,443,UCoBSmqk56lNXtcsS2T4DeQA,['Luísa Sonza'],1.11M,No info
Mc Vitin da Igrejinha,444,UCiNdunRrjvoiaJX7-rAmnzQ,['MC Tairon'],3.02K,No info
Dj Win,445,UCoA4xwP6O1EmcIwnx2rgWDg,"['MC Tairon', 'MC Tairon']",10.8K,No info
Mc Kadu,446,UCE702yt8g0cWtejcZPM7s9g,"['MC Ryan SP', 'Gabb MC']",325K,No info
DJ Bel da CDD,447,UCEsYfOQGZBQXCBOfmwzE4hQ,['L7NNON'],230,No info
Os Hawaianos,448,UCMqp_F5tHb3AjexoljWEqAg,['L7NNON'],17.8K,No info
Mc Kako,449,UC4pGi_gzx-ZlR1VVhFSrG8w,['DJ Boy'],191K,No info
MC V7,450,UCtcFJUEi7TcHUtAZ8OE7k9g,['DJ Boy'],14.1K,No info
DJ Breno,451,UCljv_m-p5CzDh5nkOfjwflw,['Dj LK da Escócia'],80,No info
MC GW,452,UCRD2CD9eZAmjFU6-3yUQ3wg,"['Dyamante DJ ', 'Mc jhenny', 'Niack']",69.9K,No info
MC Braz,453,UCm0io7ggh7nQWyG53Dt_jOg,['MC Tairon'],138K,No info
MC G15,454,UC2dFvvg6eE5Sn6K6LcFlctw,['MC Don Juan'],123K,No info
Nesty,455,UCotHAxNJWdytzZrkg42DCMg,"[""Alexander Delgado (Gente D' Zona)""]",61.6K,"13,481,961 views"
El Micha,456,UCHhrMSqe_C1E_JBEz3mRlew,"['Chacal', 'Chacal']",133K,No info
Olga Tañon,457,UCjwWnt9K3CXTZVj2o85ZeAA,"['Puerto Rican Power', 'Ala Jaza']",629K,"348,299,577 views"
DJ Buddha,458,UCu4kUC2N5THYRHo1qkycf_A,['Christian Alicea'],268,"76,108 views"
Daviles de Novelda,459,UCrFcnXkoP8Zrle8jzIVMI5w,"['Becky G', 'Becky G']",792K,No info
Juanes,460,UCeWBcJf4eNsQmGQO-N98eTg,['Los Ángeles Azules'],2.84M,"2,460,630,752 views"
Lil Jon,461,UC-TDzpXxJndgBvyX4dZXVzA,['Don Omar'],962K,"601,321,270 views"
Fuego,462,None,[],,
Guaynaa,463,UCxRxlD8IOe7G5xVtEfduNKQ,"['Los Ángeles Azules', 'Los Ángeles Azules']",3.4M,"1,205,427,312 views"
Maffio,464,UCD2HJZjYy2rAUIVm7FdRDew,['Gente de Zona'],504K,"243,032,254 views"
Baby Lores,465,UCn_f2cV4zifqRRe8fd2aa-g,['Chacal'],32.3K,No info
Los 4,466,UCV6gPn7ZnPTdiZAuF0g2FaQ,['Chacal'],22.5K,No info
Diana Fuentes,467,UCy67KGk6MVZ6iWDWGhC_3zA,['Leoni Torres'],82K,"44,386,256 views"
Norbert,468,None,[],,
Owem-G,469,UCtdJYgZhXchSV5US69_Wrkg,['G combo'],98,No info
Carin Leon,470,UCGr3AcxG5Ubp4kByu7l5SSA,['Grupo Frontera'],1.56M,No info
Yuridia,471,UCKgCf7mtjN7yyYjrDJ1QJnQ,['Ángela Aguilar'],3.19M,"3,695,888,044 views"
El Padrinito Toys,472,None,[],,
Pepe Aguilar,473,UCyBoRvwftrKrfkHIsK5NXTw,['El Fantasma'],3.03M,"2,146,900,070 views"
Victor Cibrian,474,UCDyfUKv9GHQ3h6XuWPpZhlA,['Natanael Cano'],41.9K,No info
La Ventaja,475,UCsF0UkjIHRwgx9oMXHtH4ag,['Grupo Firme'],11.8K,No info
Legado 7,476,UCvzMdnLwZkijXiN1tfk0WyA,['Nivel Codiciado'],277K,No info
José Mejía,477,UC4HuNHynT5dws3s2E_P9VSw,['Nivel Codiciado'],12.1K,No info
Christian Nodal,478,UC_nxbep6wWeIEVb1UKn4euw,"['Romeo Santos', 'Kany Garcia']",10.4M,"7,780,188,276 views"
Eslabón Armado,479,UCmqrOR5GZcSNS5BLAAt6hPg,['Ivan Cornejo'],2.04M,No info
Ana Castela,480,UCyDsKwygOyI3zbIIQPR8K1g,"['Israel & Rodolffo', 'Israel & Rodolffo', 'Zé Felipe', 'Zé Felipe', 'Felipe & Murillo', 'Felipe & Murillo']",1.37M,No info
Luan Pereira,481,UCt_NeWd6FkCgK0gGrp4B3UQ,"['Zé Felipe', 'Zé Felipe']",428K,No info
Matheus & Kauan,482,UClE44UxoPXDa8bqWnqP71tg,"['Guilherme & Benuto', 'Jorge & Mateus', 'Jorge & Mateus']",10.6M,"7,199,000,932 views"
Maiara & Maraisa,483,UCFUo6fAiav8B09VoqMuhzgQ,"['Israel & Rodolffo', 'Murilo Huff']",9.34M,"5,557,454,048 views"
Xand Avião,484,UCnVznkVigYrDMxqNhJ22Tnw,"['Guilherme & Benuto', 'Guilherme & Benuto']",5.63M,No info
Henrique & Juliano,485,UCt8Ihy3hj9uHGXKTpO214AQ,"['Luan Santana', 'Bruno & Marrone']",15.3M,"13,518,473,552 views"
Felipe Araújo,486,UCyP27V8-X31g_KIkExR5CfQ,['MC Hariel'],5.24M,No info
Rionegro & Solimões,487,UCKIe4WXrF7nmHQPgjnWykIA,['Jorge & Mateus'],936K,No info
Tierry,488,UCQKYW7xoMr_cOLvVd8pBvlA,"['Hugo & Guilherme', 'MC Danny']",4.59M,No info
Xamã,489,UCp0WcprBoKX5HvfQ3-RrUvw,['Luísa Sonza'],450K,No info
Deavele Santos,490,UC-QKGD_VUphf0gTCvqSezow,['Wesley Safadão'],154K,No info
Nivaldo Marques,491,UCSyDVyNzeWrlEHU0oCY4poA,['nattan'],188K,No info
Yara Tchê,492,None,[],,
Skeeter Beats,493,UCR9TBQTbjdEA2MGQ5g3RevQ,['Rô Rosa'],166,No info
Yago Oproprio,494,UCVsF3qEHVR00SQNBe4jDM8g,['Rô Rosa'],111K,No info
MC Magal,495,UCq9AH5TcaEF4iwN6ZvHGxPA,['MC Ryan SP'],113K,No info
Anavitória,496,UCDARE-4OotSQ2uHFla-zNvA,['Lagum'],3.63M,"1,400,923,552 views"
Felipe Amorim,497,UCSCVx5XGHdzEUpqNbHOkEAA,"['nattan', 'teto']",745K,No info
MC Daniel,498,UCNBdRAxgiWKMPH2_wiDjecw,['Orochi'],27.3K,No info
BIN,499,UCr_4pHnhq3DWeUPjn8uVSJg,['Orochi'],1.78M,No info
Caio Passos,500,UCil82WxBEh6Z1zBYDefGgIA,['Orochi'],5.18K,No info
Pabllo Vittar,501,UCmPnXSlj6y-NEfYLmRI2-7A,['PEDRO SAMPAIO'],7.74M,"2,110,368,677 views"
POCAH,502,UC9qoYKGbdVTc4maVDrcPEZA,['Lexa'],2.73M,"622,955,344 views"
Gloria Estefan,503,UCl7iFb9YK6ij2JPn7wUCqtg,['Miami Sound Machine'],811K,"597,297,951 views"
Tito Puente,504,UCXsmbH-Rt-ME375T57ZmeKw,['Celia Cruz'],22.5K,"12,647,184 views"
Ezio Oliva,505,UChfp0rnfaXjE0ri9hjtYIRw,['Daniela Darcourt'],335K,No info
Willy Garcia,506,UCXhgeVaTd4v6C2Lw_kpSdPQ,['Gilberto Santa Rosa'],142K,No info
Victor Manuelle,507,UCQz9VIfqA7dIeBY8oBuj89w,['India'],1.37M,"1,225,780,318 views"
Héctor Lavoe,508,UCqT_XfFbiIGUAU1I8XLnjog,['Willie Colón'],235K,"288,993,916 views"
Roberto Delgado & Orquesta,509,UCNSPvHYk2xl9AWckeDR1F1w,['Rubén Blades'],14,No info
"Monguito ""El Único"" Santamaría",510,None,[],,
"Ricardo ""Richie"" Ray",511,UCvw20A-fOsnZVl3k4odGWCg,['Bobby Cruz'],40.1K,"32,805,232 views"
Fernando Villalona,512,UCGb0TV6uuDE-zkM_hlcKj2A,['Rubby Perez'],6.39K,"10,307,694 views"
Toño Rosario,513,UC_iikKJH6fo6xEpgmxHwM5w,['Rubby Perez'],321K,"198,678,078 views"
Omar Enrique,514,UC9uCzCgwN1bdalXMrfI0fuA,['Eddy Herrera'],7.84K,No info
Gabriel,515,None,[],,
Los Hermanos Rosario,516,UCdv2gyh53GVFUIekaxO9gUQ,['Elvis Crespo'],93.6K,"32,835,726 views"
Victor Roque,517,UCT6CQhOMuvYogd8AZxJca0w,['La Gran Manzana'],752,No info
Chiquis,518,UCbaUEd9cGOGPVlnjIsMeeMg,"['Raymix', 'Play-N-Skillz']",910K,"239,664,947 views"
Sofia Reyes,519,UCtLm9gl2UdEQUuI2nmY5_Vw,"['Los Ángeles Azules', 'Los Ángeles Azules']",3.43M,"1,703,534,469 views"
Esteman,520,UChH3W3boDl_9s_0T5aOCv6w,"['Los Ángeles Azules', 'Los Ángeles Azules']",783K,"268,659,350 views"
NZO,521,None,[],,
Ke Personajes,522,UCYJ_9Y3IoTbGZpU0TuQ8PPA,['La T y La M'],1.44M,No info
Agrupación Cariño,523,UCtV6jX-wOK7to2lhSKPQVMg,['DaCrewmbia'],7.16K,No info
Los Palmeras,524,UCp1U6alu7Y5BnjLZu2cfqmg,['Abel Pintos'],250K,No info
Fidel Nadal,525,UCJ_bsibO3p86-iHH3ajKxgw,['Mexican Institute Of Sound'],22.5K,"6,516,582 views"
Los Cumbia Stars,526,UC3koXa_yy1pExC8Z3DmIODg,['Eliseo Herrera'],9.48K,No info
Luis Coronel,527,UC9KGeOSI51Xe14GarhxaE6A,['Play-N-Skillz'],1.49M,"389,274,809 views"
Los Master Plus,528,UC73-pfoiT2Ht9ox-H0fyo3Q,['Pato Machete'],2.86K,No info
Banda El Recodo De Cruz Lizárraga,529,UCqmicz9Sn9gih5SbUHRHZ6w,['La Sonora Dinamita'],2.64M,"2,781,952,609 views"
D´Flow Aka La Maldad,530,UCMTcCMaYfRKzxGlSrXLjZEA,['La Manta'],0,No info
Skary Movie,531,None,[],,
Harryson,532,UC2ihX5uoblnN4wsA-ayIAAA,['Rochy RD'],117K,No info
Dowba Montana,533,UC2Ggem3xUjMJR931ZVthMQg,"['El Alfa', 'Chimbala', 'Chimbala', 'El Cherry Scom', 'Mark B']",639K,"153,627,822 views"
Chucky73,534,UCqBydz3xCj4qX8Vds1vj_Yw,"['Chimbala', 'Fetti031']",915K,No info
Yomel El Meloso,535,UCXpnwLMNGoghmQlbtIuiMqQ,['Paulus Music'],1.26M,No info
Harry Nach,536,UCO-eCC9qWjWdaDH1W3G9ZhA,['El Futuro Fuera De Orbita'],563K,No info
El Panda 15,537,UC3jG5vgkjJ-3H-E0TdwyPiQ,['El Cherry Scom'],50.8K,No info
Shadow Blow,538,UCgbs2HqfNucMJzMhUWrr5TA,['El Cherry Scom'],653K,No info
Secreto El Famoso Biberon,539,UCRzrVBBwwgeVfR9eaVFlVIQ,['Tokischa'],3.28M,No info
Aleica,540,UCT-bKCQSIA2adpdBP9umtfA,['La Melma Music'],29.4K,No info
Onguito Wa,541,UClNfeioFZZZmSlTfpHhjcgQ,['La Melma Music'],730K,No info
El Mayor Clasico,542,UCOljex2KuBSCuPszyL1qWlA,"['Rochy RD', 'Chael Produciendo']",1.56M,No info
Chiki El De La Vaina,543,UC1FM9Pcb9d6eBE5JhzaV5Wg,['Ceky Vicini'],52.6K,No info
El Fecho Rd,544,UCj8OfjueQS15zikAqqOGnSA,['Ceky Vicini'],1.03M,No info
La Perversa,545,UCalwlLZB7DYtdcTIEpTGirQ,"['Dj Adoni', 'Ceky Vicini']",807K,No info
T.Y.S,546,UCEeJQ_7WNGCggzFxlRwY6dw,['Chael Produciendo'],184K,"47,226,141 views"
Don Forty Five,547,UCwb9qpHXexGuAOJw-dAGkww,['Treintisiete'],13.3K,No info
Jonatan Burlon,548,UCFFal9JVwdW1dPs-BNVtJnw,['Rochy RD'],41.6K,"3,896,073 views"
El Productor de oro,549,UC5eM2DfFiMUGJaqFT3qUdEA,['Ice P'],31,No info
Shootter Ledo,550,UC1fsqiQvIoNQeTVEEA5xD8g,['Boy Wonder CF'],78,No info
Elvis Martinez,551,UC4h9XqAOcX8oznh0JXLymfQ,['Prince Royce'],423K,"245,593,004 views"
El Chaval De La Bachata,552,UChQMZlJhdnQ_eVM9bt26-zA,['Romeo Santos'],614K,No info
Luis Vargas,553,UChCP-Q1emDG1jv5iHdtRzdg,['Henry Santos'],201K,"135,851,238 views"
Yenddi,554,UCRKdgiIDxc1TQ1PGh2YmY6Q,['Zacarías Ferreíra'],687,No info
24 Horas,555,None,[],,
Manny Manz,556,UCXFFR8GVndyZPZ2pCgcrXhg,['Bachata Heightz'],1.11K,No info
Monchy Capricho,557,UCN7ZrapWAsiMIzVDo8MLMcQ,['Alexandra'],2.99K,No info
DJ ABDO,558,UCk-3J0MKsHPVWdR3Mp57Dzg,"['Mc Delux', 'Club Dz7']",1.32K,No info
Mc Flavinho,559,UCsnuasd0HixIiZMwXsaUZWQ,['Mc Dricka'],2.38K,No info
Mc 2k,560,UCiO5JtxCpBns0s4AyogQcTA,['Dj Juninho Mpc'],4.89K,No info
MC PR,561,UCNAeEUljS9-ZHwna23uMiqw,['Dj Juninho Mpc'],124K,No info
Two Maloka,562,UCEt30T7eohQrrxwVLVmXvyA,['DJ Pernambuco'],15.2K,No info
MC DG,563,UCGsOFlRJDp2guW_Gm9O-QfA,['MC Gustta'],5.17K,No info
Mc Nando Dk,564,UCz0kFzqCNvnPliNfI5NvWeQ,['Jerry Smith'],992,No info
MC Guto VGS,565,UC7xAsgLS8jSs6kNIyuqcceA,"['MC BN', 'MC BN', 'MC Renatinho Falcão']",13.1K,No info
DJ KL do ABC,566,UCBQ0UWI5O3YA6vsYaAEVTOg,['MC BN'],266,No info
MC Barone,567,UC6snirf-iSSM4CQJUcT-csQ,['MC Lan'],5.65K,No info
MC Hollywood,568,UC1TJDizRa7hgzNuDTjgFyhA,['MC Kevinho'],126K,No info
DJ KOSTA 22,569,UCz6zNBbYBPxVgA993bV37gQ,['Mc jhenny'],301,No info
MC Leléto,570,UCl6MnM76oJeZMN3X4KNJleg,['MC WM'],354K,No info
Os Cretinos,571,UCsx8LW7HMjaIDYC_MPLRstw,['MC WM'],392K,No info
MC 2Jhow,572,UCdytVIeNmM8OLKYWtyiZ-vw,['Rennan da Penha'],20.7K,No info
Mc Rangel,573,UCAZAyCywmOzF5MUk4Dqq5Aw,['Dj Kaio Lopes'],1.95K,No info
Mc J Mito,574,UCM1QbOlxxC0u1I1b8_2LdXw,['Dj Kaio Lopes'],92.3K,No info
Mc Ed,575,UC-bom0_TRc_EJHWd54rETCA,['Mc Charmosinho'],9,No info
Mc 7 Belo,576,UCh-kHe6afscNsyP5Sj7udIg,['DJ Arana'],2.96K,No info
MC LCKaiique,577,UChC9hdo50Um4UT3xd2lMgHA,['DJ Arana'],2.23K,No info
DJ Topo,578,UCBsEbsC_PntTr48x_X6xlZg,['MC Durrony'],207K,No info
Kyan,579,UCNQvRKbutMQZNu4j5PwHSng,['MU540'],541K,No info
DJ Bruno Prado,580,UCPpFWDvbZnh6RCgkKaUEa4w,['MU540'],20.1K,No info
DJ Alex BNH,581,UC__NUiQK94mobfrxZrPpj7g,['FP do Trem Bala'],40.1K,No info
DJ Kley,582,UCXAU0Sh9MYgK6E3HExR3QKQ,"['MC BN', 'MC BN']",283,No info
Dj Duarte,583,UChx1BSGuI91UlYsgaXuoPPw,['DJ TN Beat'],64.5K,No info
DJ TS,584,UCShVJQBHPyzuf9VXl8JlQfA,['DJ TN Beat'],3.05K,No info
MC Neneco,585,UC3J7QmvBrA0R2BVVcf3k3ZA,['Rennan da Penha'],131,No info
Savanah,586,UCgVHXxDNgzjbGvpJHFJAGNA,['Rennan da Penha'],2.23K,No info
bellagi,587,UCamGzfqBkjYU060756qzguw,['Isabely Thompson'],379,No info
Mc Mika,588,UCkmWomM9-YqcSfiNCyTcVOA,['Isabely Thompson'],6.4K,No info
Dj Serpinha,589,UCby-p57hrzjfrKA0xijhZIQ,['MC Teteu'],7.89K,No info
MC Saci,590,UCMmPgIW_HFoGprj7NysFx-A,['Dj Joao MDP'],13.7K,No info
MC Faelzin,591,UC3XhWRm7u8HI7O3rpGAdVuQ,['Dj Joao MDP'],1K,No info
Dj JL O Único,592,UCtHaQgktCC1w1ELY5LvY2yg,['FP do Trem Bala'],1.74K,No info
JK NO BEAT,593,UCEJQTQJi65bnJS5RgRbiJRQ,['MC Zuka'],25,No info
MC Branquinha,594,UCCG3RDgGByUiJxEMQTCDZQg,['Mc Delux'],112K,No info
Maax Deejay,595,UC0_3t9-CppT-9pjc0oXClwQ,['Mc Koruja'],124,No info
Mc Anjim,596,UCdJKZua9oH_Ok0n7CFvYcgQ,['DJ VILÃO'],94.6K,No info
DJ Pablo RB,597,UCJlXwTuNo2cpt14U0BTGPJw,['MC Nathan'],1.97K,No info
DJ Abdo,598,UCk-3J0MKsHPVWdR3Mp57Dzg,"['MC Pipokinha', 'MC Pipokinha']",1.32K,No info
DJ Kauan,599,UCiGbyb4ZEZl52rUi1h23G1A,['MC Menor MT'],12,No info
DJ Guih Da ZO,600,UC3gnAlPB4ftWNvb76SXIVtQ,['MC Delux'],9.13K,No info
MC Murilo MT,601,UCsBAzU8RtOG-XSyZFRVP_Tg,['MC Myres'],74.9K,"29,592,488 views"
MC Yuri,602,UC6q-lNODn3N3FBtDfQy6xJg,['MC Myres'],3.78K,No info
MC Hanan,603,UCSKmzcEb1xXGw_V5Gk_mDYw,['MC Pipokinha'],119,No info
Dj TG Beats,604,UCnBbq3D0f2V6XoKD6fa7GsA,['DJ Patrick Muniz'],1.1K,No info
DJ Bill,605,UCvqOUpTo_0xBmOwwc8Pz3oQ,['MC RD'],535,No info
GORDÃO DO PC,606,UCwXD8VV8nZ86jVKl_Flpw0Q,['DJ MACK'],114K,No info
MC Garoto,607,UCRghHpRqKFAmlDzlWsD3LqQ,['DJ MACK'],374,No info
Lukkas,608,UCaXBE77ryZrfgm1Wg8nK10w,['Ya Malb'],2.05K,No info
dj cayoo,609,UCIhXeaZzJOF5-vPAxUZPVyg,['mc scar'],21K,No info
Dj Lemix,610,UCS4paE2rksuNbT6PHSofpPw,['MC Buret'],738,No info
Dj Samuel Rodrigues,611,UCgeFBXJneGo4gKjTt1-bXmw,"['Mc vh diniz, Mc Vitin Lc & Mc Anjim']",215,No info
MC Kitinho,612,UCHnK0hxO3SV9GUZ9Ixx0AMw,['MC BN'],49.6K,No info
DJ Yuri ZS,613,UCCjojiwFp_IwnEyhANuq2Lg,['Mc Gw'],316,No info
Theus Costa,614,UCZir0_S-7txH-YLS73jyeTQ,['Bella Angel'],520,No info
Mc d20,615,UCNWlhBAAHqixxW3oxbWeAiw,['MC Talibã'],99,No info
Pet & Bobii,616,UCVRDhav-IEeNd2f6Xm757Sw,['Dj Douglinhas'],265,No info
Mc Nauan,617,UC88zkJiRiCXAiR2-5e0gsFg,['Mc Delux'],5.53K,No info
Dj Bolivia,618,None,[],,
Dj Gabriel Dutra,619,UCuut22MsaDuSWdL379h4A2Q,['Mc Danone'],5.17K,No info
Mc TH,620,UCz6nnKj3nqmcBdQmdDD3yTw,['DJ Zigão'],830K,No info
Mc Menor Thalis,621,UC9cTPyNt4nXAkgAEDg9_dpg,['DJ Zigão'],23,No info
Dj Alex BNH,622,UC__NUiQK94mobfrxZrPpj7g,['MC Renatinho Falcão'],40.1K,No info
Los Yonic's,623,UCGjrreyBiWAztUpGtnEAbTw,['Chico Che Chico'],186K,"252,585,975 views"
Los Askis,624,UC0YgXDB43w4NClgOklNbXeA,['ZOND2'],258K,No info
Sofia Macchi,625,UCw05UVFXBN5JFoGqbOsuNOA,['Chico Che Chico'],33K,No info
Chucky 73,626,UCqBydz3xCj4qX8Vds1vj_Yw,['Chimbala'],915K,No info
Mark B.,627,UCUbUtoFC6ZNYmjm0FmIhD2g,['El Alfa'],233K,No info
El Mayor Clásico,628,UCOljex2KuBSCuPszyL1qWlA,['El Alfa'],1.56M,No info
Omega El Fuerte,629,UCAJwa_1l4rHzBJyWbeBtGZw,['Mozart La Para'],318K,No info
Cj,630,UC631XbB7Y0xI2i7-76nZo2A,['El Alfa'],1.54M,"599,993,904 views"
Verbo Flow,631,UCzhO-msGj1ooP7o7XDx7PrA,['Leo RD'],115K,No info
Ceky Viciny,632,UC0ufSVMJ_86T7uDQ_VxPK9g,['Braulio Fogon'],1.5M,No info
Rosaly Rubio,633,UCbbv_ZWRCfZUbhjwdGkihyg,['Bulin 47'],1.07K,No info
